Date,HSI
8/12/2023,16334.37012
11/12/2023,16201.49023
12/12/2023,16374.5
13/12/2023,16228.75
14/12/2023,16402.18945
15/12/2023,16792.18945
18/12/2023,16629.23047
19/12/2023,16505
20/12/2023,16613.81055
21/12/2023,16621.13086
22/12/2023,16340.41016
27/12/2023,16624.83984
28/12/2023,17043.5293
29/12/2023,17047.39063
2/1/2024,16788.55078
3/1/2024,16646.41016
4/1/2024,16645.98047
5/1/2024,16535.33008
8/1/2024,16224.4502
9/1/2024,16190.01953
10/1/2024,16097.28027
11/1/2024,16302.04004
12/1/2024,16244.58008
15/1/2024,16216.33008
16/1/2024,15865.91992
17/1/2024,15276.90039
18/1/2024,15391.79004
19/1/2024,15308.69043
22/1/2024,14961.17969
23/1/2024,15353.98047
24/1/2024,15899.87012
25/1/2024,16211.95996
26/1/2024,15952.23047
29/1/2024,16077.24023
30/1/2024,15703.4502
31/1/2024,15485.07031
1/2/2024,15566.20996
2/2/2024,15533.55957
5/2/2024,15510.00977
6/2/2024,16136.87012
7/2/2024,16081.88965
8/2/2024,15878.07031
9/2/2024,15746.58008
14/2/2024,15879.37988
15/2/2024,15944.62988
16/2/2024,16339.95996
19/2/2024,16155.61035
20/2/2024,16247.50977
21/2/2024,16503.09961
22/2/2024,16742.94922
23/2/2024,16725.85938
26/2/2024,16634.74023
27/2/2024,16790.80078
28/2/2024,16536.84961
29/2/2024,16511.43945
1/3/2024,16589.43945
4/3/2024,16595.9707
5/3/2024,16162.63965
6/3/2024,16438.08984
7/3/2024,16229.78027
8/3/2024,16353.38965
11/3/2024,16587.57031
12/3/2024,17093.5
13/3/2024,17082.10938
14/3/2024,16961.66016
15/3/2024,16720.89063
18/3/2024,16737.11914
19/3/2024,16529.48047
20/3/2024,16543.07031
21/3/2024,16863.09961
22/3/2024,16499.4707
25/3/2024,16473.64063
26/3/2024,16618.32031
27/3/2024,16392.83984
28/3/2024,16541.41992
2/4/2024,16931.51953
3/4/2024,16725.09961
5/4/2024,16723.91992
